stat,value,comment,file_name
il1.inv_rate,0.0000,"invalidation rate (i.e., invs/ref)",sim-outorder_anagram_taken.cfg.out.txt
dl1.accesses,9895753,total number of accesses,sim-outorder_anagram_taken.cfg.out.txt
dl1.hits,9853185,total number of hits,sim-outorder_anagram_taken.cfg.out.txt
dl1.misses,42568,total number of misses,sim-outorder_anagram_taken.cfg.out.txt
dl1.replacements,42056,total number of replacements,sim-outorder_anagram_taken.cfg.out.txt
dl1.writebacks,10540,total number of writebacks,sim-outorder_anagram_taken.cfg.out.txt
dl1.invalidations,0,total number of invalidations,sim-outorder_anagram_taken.cfg.out.txt
dl1.miss_rate,0.0043,"miss rate (i.e., misses/ref)",sim-outorder_anagram_taken.cfg.out.txt
dl1.repl_rate,0.0042,"replacement rate (i.e., repls/ref)",sim-outorder_anagram_taken.cfg.out.txt
dl1.wb_rate,0.0011,"writeback rate (i.e., wrbks/ref)",sim-outorder_anagram_taken.cfg.out.txt
dl1.inv_rate,0.0000,"invalidation rate (i.e., invs/ref)",sim-outorder_anagram_taken.cfg.out.txt
ul2.accesses,96391,total number of accesses,sim-outorder_anagram_taken.cfg.out.txt
ul2.hits,86540,total number of hits,sim-outorder_anagram_taken.cfg.out.txt
ul2.misses,9851,total number of misses,sim-outorder_anagram_taken.cfg.out.txt
ul2.replacements,5773,total number of replacements,sim-outorder_anagram_taken.cfg.out.txt
ul2.writebacks,2551,total number of writebacks,sim-outorder_anagram_taken.cfg.out.txt
ul2.invalidations,0,total number of invalidations,sim-outorder_anagram_taken.cfg.out.txt
ul2.miss_rate,0.1022,"miss rate (i.e., misses/ref)",sim-outorder_anagram_taken.cfg.out.txt
ul2.repl_rate,0.0599,"replacement rate (i.e., repls/ref)",sim-outorder_anagram_taken.cfg.out.txt
ul2.wb_rate,0.0265,"writeback rate (i.e., wrbks/ref)",sim-outorder_anagram_taken.cfg.out.txt
ul2.inv_rate,0.0000,"invalidation rate (i.e., invs/ref)",sim-outorder_anagram_taken.cfg.out.txt
itlb.accesses,56247823,total number of accesses,sim-outorder_anagram_taken.cfg.out.txt
itlb.hits,56247803,total number of hits,sim-outorder_anagram_taken.cfg.out.txt
itlb.misses,20,total number of misses,sim-outorder_anagram_taken.cfg.out.txt
itlb.replacements,0,total number of replacements,sim-outorder_anagram_taken.cfg.out.txt
itlb.writebacks,0,total number of writebacks,sim-outorder_anagram_taken.cfg.out.txt
itlb.invalidations,0,total number of invalidations,sim-outorder_anagram_taken.cfg.out.txt
itlb.miss_rate,0.0000,"miss rate (i.e., misses/ref)",sim-outorder_anagram_taken.cfg.out.txt
itlb.repl_rate,0.0000,"replacement rate (i.e., repls/ref)",sim-outorder_anagram_taken.cfg.out.txt
itlb.wb_rate,0.0000,"writeback rate (i.e., wrbks/ref)",sim-outorder_anagram_taken.cfg.out.txt
itlb.inv_rate,0.0000,"invalidation rate (i.e., invs/ref)",sim-outorder_anagram_taken.cfg.out.txt
dtlb.accesses,9923685,total number of accesses,sim-outorder_anagram_taken.cfg.out.txt
