stat,value,comment,file_name
il1.miss_rate,0.0008,"miss rate (i.e., misses/ref)",sim-outorder_anagram_bimod.cfg.out.txt
il1.repl_rate,0.0008,"replacement rate (i.e., repls/ref)",sim-outorder_anagram_bimod.cfg.out.txt
il1.wb_rate,0.0000,"writeback rate (i.e., wrbks/ref)",sim-outorder_anagram_bimod.cfg.out.txt
il1.inv_rate,0.0000,"invalidation rate (i.e., invs/ref)",sim-outorder_anagram_bimod.cfg.out.txt
dl1.accesses,9096854,total number of accesses,sim-outorder_anagram_bimod.cfg.out.txt
dl1.hits,9054386,total number of hits,sim-outorder_anagram_bimod.cfg.out.txt
dl1.misses,42468,total number of misses,sim-outorder_anagram_bimod.cfg.out.txt
dl1.replacements,41956,total number of replacements,sim-outorder_anagram_bimod.cfg.out.txt
dl1.writebacks,10544,total number of writebacks,sim-outorder_anagram_bimod.cfg.out.txt
dl1.invalidations,0,total number of invalidations,sim-outorder_anagram_bimod.cfg.out.txt
dl1.miss_rate,0.0047,"miss rate (i.e., misses/ref)",sim-outorder_anagram_bimod.cfg.out.txt
dl1.repl_rate,0.0046,"replacement rate (i.e., repls/ref)",sim-outorder_anagram_bimod.cfg.out.txt
dl1.wb_rate,0.0012,"writeback rate (i.e., wrbks/ref)",sim-outorder_anagram_bimod.cfg.out.txt
dl1.inv_rate,0.0000,"invalidation rate (i.e., invs/ref)",sim-outorder_anagram_bimod.cfg.out.txt
ul2.accesses,75821,total number of accesses,sim-outorder_anagram_bimod.cfg.out.txt
ul2.hits,66433,total number of hits,sim-outorder_anagram_bimod.cfg.out.txt
ul2.misses,9388,total number of misses,sim-outorder_anagram_bimod.cfg.out.txt
ul2.replacements,5315,total number of replacements,sim-outorder_anagram_bimod.cfg.out.txt
ul2.writebacks,2439,total number of writebacks,sim-outorder_anagram_bimod.cfg.out.txt
ul2.invalidations,0,total number of invalidations,sim-outorder_anagram_bimod.cfg.out.txt
ul2.miss_rate,0.1238,"miss rate (i.e., misses/ref)",sim-outorder_anagram_bimod.cfg.out.txt
ul2.repl_rate,0.0701,"replacement rate (i.e., repls/ref)",sim-outorder_anagram_bimod.cfg.out.txt
ul2.wb_rate,0.0322,"writeback rate (i.e., wrbks/ref)",sim-outorder_anagram_bimod.cfg.out.txt
ul2.inv_rate,0.0000,"invalidation rate (i.e., invs/ref)",sim-outorder_anagram_bimod.cfg.out.txt
itlb.accesses,27701864,total number of accesses,sim-outorder_anagram_bimod.cfg.out.txt
itlb.hits,27701844,total number of hits,sim-outorder_anagram_bimod.cfg.out.txt
itlb.misses,20,total number of misses,sim-outorder_anagram_bimod.cfg.out.txt
itlb.replacements,0,total number of replacements,sim-outorder_anagram_bimod.cfg.out.txt
itlb.writebacks,0,total number of writebacks,sim-outorder_anagram_bimod.cfg.out.txt
itlb.invalidations,0,total number of invalidations,sim-outorder_anagram_bimod.cfg.out.txt
itlb.miss_rate,0.0000,"miss rate (i.e., misses/ref)",sim-outorder_anagram_bimod.cfg.out.txt
itlb.repl_rate,0.0000,"replacement rate (i.e., repls/ref)",sim-outorder_anagram_bimod.cfg.out.txt
itlb.wb_rate,0.0000,"writeback rate (i.e., wrbks/ref)",sim-outorder_anagram_bimod.cfg.out.txt
itlb.inv_rate,0.0000,"invalidation rate (i.e., invs/ref)",sim-outorder_anagram_bimod.cfg.out.txt
dtlb.accesses,9130319,total number of accesses,sim-outorder_anagram_bimod.cfg.out.txt
dtlb.hits,9130236,total number of hits,sim-outorder_anagram_bimod.cfg.out.txt
dtlb.misses,83,total number of misses,sim-outorder_anagram_bimod.cfg.out.txt
dtlb.replacements,0,total number of replacements,sim-outorder_anagram_bimod.cfg.out.txt
dtlb.writebacks,0,total number of writebacks,sim-outorder_anagram_bimod.cfg.out.txt
dtlb.invalidations,0,total number of invalidations,sim-outorder_anagram_bimod.cfg.out.txt
dtlb.miss_rate,0.0000,"miss rate (i.e., misses/ref)",sim-outorder_anagram_bimod.cfg.out.txt
dtlb.repl_rate,0.0000,"replacement rate (i.e., repls/ref)",sim-outorder_anagram_bimod.cfg.out.txt
dtlb.wb_rate,0.0000,"writeback rate (i.e., wrbks/ref)",sim-outorder_anagram_bimod.cfg.out.txt
dtlb.inv_rate,0.0000,"invalidation rate (i.e., invs/ref)",sim-outorder_anagram_bimod.cfg.out.txt
sim_invalid_addrs,0,total non-speculative bogus addresses seen (debug var),sim-outorder_anagram_bimod.cfg.out.txt
ld_text_base,0x0120000000,program text (code) segment base,sim-outorder_anagram_bimod.cfg.out.txt
ld_text_size,106496,program text (code) size in bytes,sim-outorder_anagram_bimod.cfg.out.txt
ld_data_base,0x0140000000,program initialized data segment base,sim-outorder_anagram_bimod.cfg.out.txt
ld_data_size,71264,program init'ed `.data' and uninit'ed `.bss' size in bytes,sim-outorder_anagram_bimod.cfg.out.txt
ld_stack_base,0x011ff9b000,program stack segment base (highest address in stack),sim-outorder_anagram_bimod.cfg.out.txt
ld_stack_size,16384,program initial stack size,sim-outorder_anagram_bimod.cfg.out.txt
ld_prog_entry,0x01200059c0,program entry point (initial PC),sim-outorder_anagram_bimod.cfg.out.txt
ld_environ_base,0x011ff97000,program environment base address address,sim-outorder_anagram_bimod.cfg.out.txt
ld_target_big_endian,0,"target executable endian-ness, non-zero if big endian",sim-outorder_anagram_bimod.cfg.out.txt
mem.page_count,54,total number of pages allocated,sim-outorder_anagram_bimod.cfg.out.txt
mem.page_mem,432k,total size of memory pages allocated,sim-outorder_anagram_bimod.cfg.out.txt
mem.ptab_misses,456696,total first level page table misses,sim-outorder_anagram_bimod.cfg.out.txt
mem.ptab_accesses,190763862,total page table accesses,sim-outorder_anagram_bimod.cfg.out.txt
mem.ptab_miss_rate,0.0024,first level page table miss rate,sim-outorder_anagram_bimod.cfg.out.txt
